Package	Description
apt-packages	apt packages
cargo-packages	cargo packages (`dots binstall cargo-packages` is also available)
chrome	Google Chrome
code	Microsoft Visual Studio Code
copyq	CopyQ
docker	docker-ce (additional repository)
flatpak	Flatpak and the system Flathub remote
fnm	latest FNM and Node.js
fzf	fzf (github.com)
gimp	GIMP (Flatpak)
gum	gum
hackgen	HackGen font
lazydocker	LazyDocker
lazygit	LazyGit
lazyvim	LazyVim
localsend	LocalSend
mise	mise
mozc	Mozc input method
mplus2	M+ 2 font
neovim	neovim and LazyVim
obsidian	Obsidian
pinta	Pinta (Flatpak)
rustdesk	RustDesk
rustdesk-server	RustDesk OSS ID/relay server on Ubuntu (--host required)
rustup	Rust toolchain
signal	Signal messenger
snap-packages	Snappy packages
starship	starship.rs
thunderbird	Thunderbird (Flatpak)
waydroid	Waydroid
zed	Zed editor
zoom	Zoom (Snap)
